,,,,,,,,,,,,,,,,,,,
"3.2 FDI International investment positions in the United Kingdom analysed by area & main country and by component, 2017 to 2020 (Directional)",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,£ million,,,,,,,,,,,
,,,,UK subsidiaries and associates,,,UK branches,Total net FDI international investment position in the UK at end period,,,,,,,,,,,
,,,,Foreign companies' share of UK companies' share capital and reserves at end period,Amount due to foreign parent companies on inter-company account at end period,,Amount due to foreign parent companies on branch-head office account at end period,,,,,,,,,,,,
EUROPE             ,, ,2017,"695,332","80,381",,"7,087","782,800",,,,,,,,,,,
,, ,2018,"751,151","65,093",,"9,558","825,803",,,,,,,,,,,
,,,2019,"753,658","92,377",,"5,549","851,583",,,,,,,,,,,
,, ,2020,"908,910","103,452",,"1,596","1,013,959",,,,,,,,,,,
,EU          , ,2017,"512,009","73,455",,"5,788","591,252",,,,,,,,,,,
,, ,2018,"559,208","51,341",,"6,055","616,604",,,,,,,,,,,
,,,2019,"567,908","82,596",,"5,181","655,684",,,,,,,,,,,
,, ,2020,"656,033","85,520",,"1,536","743,089",,,,,,,,,,,
,,AUSTRIA,2017,765,217,,1,984,,,,,,,,,,,
,, ,2018,880,246,,1,"1,127",,,,,,,,,,,
,,,2019,423,198,,8,629,,,,,,,,,,,
,, ,2020,"1,102",136,,4,"1,242",,,,,,,,,,,
,,BELGIUM,2017,"92,207",..,,..,"92,552",,,,,,,,,,,
,, ,2018,"116,460",..,,..,"117,949",,,,,,,,,,,
,,,2019,"121,637",..,,..,"123,389",,,,,,,,,,,
,, ,2020,"129,643",..,,..,"131,026",,,,,,,,,,,
,,BULGARIA,2017,8,2,,-,10,,,,,,,,,,,
,, ,2018,12,15,,-,27,,,,,,,,,,,
,,,2019,12,1,,-,14,,,,,,,,,,,
,, ,2020,31,5,,-,36,,,,,,,,,,,
,,CROATIA,2017,-,-,,-,-,,,,,,,,,,,
,,,2018,-,-,,-,-,,,,,,,,,,,
,,,2019,1,-,,-,1,,,,,,,,,,,
,,,2020,9,2,,-,11,,,,,,,,,,,
,,CYPRUS,2017,"5,318","1,105",,2,"6,425",,,,,,,,,,,
,, ,2018,"4,359",606,,10,"4,975",,,,,,,,,,,
,,,2019,"4,380",617,,-,"4,997",,,,,,,,,,,
,, ,2020,"4,132",802,,1,"4,934",,,,,,,,,,,
,,CZECH REPUBLIC,2017,41,..,,20,..,,,,,,,,,,,
,, ,2018,41,351,,-,393,,,,,,,,,,,
,,,2019,..,..,,-,..,,,,,,,,,,,
,, ,2020,..,..,,-,"1,037",,,,,,,,,,,
,,DENMARK,2017,"4,068",..,,..,"5,916",,,,,,,,,,,
,, ,2018,"5,425",..,,..,"6,218",,,,,,,,,,,
,,,2019,"10,833",..,,..,"12,163",,,,,,,,,,,
,, ,2020,"12,060",648,,1,"12,709",,,,,,,,,,,
,,ESTONIA,2017,6,2,,-,8,,,,,,,,,,,
,, ,2018,13,6,,-,19,,,,,,,,,,,
,,,2019,21,2,,-,23,,,,,,,,,,,
,, ,2020,106,4,,-,110,,,,,,,,,,,
,,FINLAND,2017,496,..,,..,521,,,,,,,,,,,
,, ,2018,465,..,,..,570,,,,,,,,,,,
,,,2019,519,40,,5,565,,,,,,,,,,,
,, ,2020,"1,179",81,,1,"1,261",,,,,,,,,,,
,,FRANCE,2017,"58,484","2,896",,497,"61,876",,,,,,,,,,,
,, ,2018,"59,263","3,567",,44,"62,874",,,,,,,,,,,
,,,2019,"68,530","6,605",,-10,"75,125",,,,,,,,,,,
,, ,2020,"56,822","12,367",,-42,"69,147",,,,,,,,,,,
,,GERMANY,2017,"51,730","11,438",,"3,677","66,845",,,,,,,,,,,
,, ,2018,"75,217","10,989",,"3,709","89,915",,,,,,,,,,,
,,,2019,"34,210","8,239",,"1,584","44,032",,,,,,,,,,,
,, ,2020,"99,255","6,663",,715,"106,633",,,,,,,,,,,
,,GREECE,2017,..,..,,-,-124,,,,,,,,,,,
,, ,2018,143,..,,-,..,,,,,,,,,,,
,,,2019,132,..,,-,..,,,,,,,,,,,
,, ,2020,235,..,,-,..,,,,,,,,,,,
,,HUNGARY,2017,21,4,,-,25,,,,,,,,,,,
,, ,2018,5,3,,8,16,,,,,,,,,,,
,,,2019,..,..,,4,115,,,,,,,,,,,
,, ,2020,421,9,,-,430,,,,,,,,,,,
,,IRISH REPUBLIC,2017,"13,350","2,328",,72,"15,750",,,,,,,,,,,
,, ,2018,"15,597","1,876",,-312,"17,161",,,,,,,,,,,
,,,2019,"14,530",..,,..,"15,185",,,,,,,,,,,
,, ,2020,"31,910",..,,..,"29,705",,,,,,,,,,,
,,ITALY,2017,"4,203",581,,60,"4,843",,,,,,,,,,,
,, ,2018,"5,864",180,,125,"6,170",,,,,,,,,,,
,,,2019,"6,507",733,,-16,"7,225",,,,,,,,,,,
,, ,2020,"8,897","1,015",,2,"9,914",,,,,,,,,,,
,,LATVIA,2017,..,..,,-,8,,,,,,,,,,,
,, ,2018,..,..,,-,34,,,,,,,,,,,
,,,2019,39,-4,,-,35,,,,,,,,,,,
,, ,2020,30,2,,-,32,,,,,,,,,,,
,,LITHUANIA,2017,7,1,,-,8,,,,,,,,,,,
,, ,2018,22,-,,-,22,,,,,,,,,,,
,,,2019,92,15,,-,107,,,,,,,,,,,
,, ,2020,35,3,,-,38,,,,,,,,,,,
,,LUXEMBOURG,2017,"88,431",..,,..,"111,367",,,,,,,,,,,
,, ,2018,"86,419","21,504",,779,"108,703",,,,,,,,,,,
