,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"3.3 FDI International investment positions in the United Kingdom analysed by area & main country and by industrial activity of UK affiliates, 2017 to 2020 (Directional)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,£ million,,,,,,,,,,,,,,,,,,,
,, ,, ,"Agriculture, forest & fishing",Mining & quarrying,"Food products, beverages & tobacco products",Textiles & wood activities,"Petroleum, chemicals, pharmaceuticals, rubber, plastic products",Metal and machinery products,"Computer, electronic and optical products",Transport equipment,Other manufacturing,"Electricity, gas, water and waste",Construction,"Retail & wholesale trade, repair of motor vehicles & motor cycles,",Transportation & storage,Information and communication,Financial services,"Professional, scientific & technical services",Administrative and support service activities,Other services,Total,,,,,,,,,,,,,,,,,,,
EUROPE             ,, ,2,2017,908,"63,713","21,114","2,454","21,686","18,410","16,006","13,779","31,235","46,214","6,594","69,524","47,055","40,158","197,370","64,896","20,962","93,229","782,800",,,,,,,,,,,,,,,,,,,
,, ,3,2018,"1,160","43,161","34,130","2,153","25,509","13,371","12,690","13,029","29,635","50,243","6,558","70,923","61,108","50,373","201,876","83,826","20,522","97,214","825,803",,,,,,,,,,,,,,,,,,,
,,,,2019,"1,484","53,956","27,831","1,844","19,904","31,388","12,092","17,821","47,414","50,844","17,318","77,423","19,788","60,234","217,135","71,628","19,073","95,114","851,583",,,,,,,,,,,,,,,,,,,
,, ,4,2020,"1,740","78,649","34,006","2,801","26,454","28,167","14,631","20,667","42,471","47,306","9,427","84,128","72,319","56,663","253,189","102,154","21,298","107,810","1,013,959",,,,,,,,,,,,,,,,,,,
,EU          , ,6,2017,305,"59,296","22,609","2,137","20,105","18,171","15,585","13,254","30,122","41,592","4,903","63,974","44,505","29,000","84,908","25,037","19,745","88,513","591,252",,,,,,,,,,,,,,,,,,,
,, ,7,2018,410,"37,028","30,019","1,821","21,918","13,222","12,041","12,279","28,483","46,431",..,"64,165","57,553","35,359","105,470","32,051","19,827",..,"616,604",,,,,,,,,,,,,,,,,,,
,,,,2019,727,"45,736","24,535","1,738","18,159","26,511","11,726","17,274","46,486","45,968","15,281","71,865","17,081","44,122","119,888","33,011","19,545","86,739","655,684",,,,,,,,,,,,,,,,,,,
,, ,8,2020,..,..,"31,363","2,271","18,340","22,996","14,226","19,932","41,093","37,096","5,566","73,951","71,739","40,396","132,008","38,430","18,685","91,465","743,089",,,,,,,,,,,,,,,,,,,
,,AUSTRIA,10,2017,..,..,..,12,227,81,17,26,27,..,7,281,..,..,13,9,18,30,984,,,,,,,,,,,,,,,,,,,
,, ,11,2018,..,..,..,24,219,59,17,12,266,..,8,253,8,136,16,8,19,74,"1,127",,,,,,,,,,,,,,,,,,,
