"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2009",619.842,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2010",667.751,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2011",634.146,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2012",1610.822,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",1489.362,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",1266.389,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",2344.561,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",2372.648,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",2783.714,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",2232.496,
"AUS","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",2370.209,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2009",72964.657,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2010",85366.399,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2011",91703.252,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2012",94038.502,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",78544.326,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",70816.888,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",66139.402,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",68764.834,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",79385.383,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",78193.817,
"AUS","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",92089.96,
"AUT","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2012",17.15,
"AUT","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",23.068,
"AUT","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",17.42,
"AUT","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",21.081,
"AUT","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",22.787,
"AUT","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",20.609,
"AUT","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",20.22,
"AUT","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",22.089,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2012",16532.982,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",19605.572,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",16123.248,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",14734.894,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",14262.675,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",17458.623,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",18518.434,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",17656.706,
"AUT","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",20073.629,
"BEL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",166.332,
"BEL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",145.89,
"BEL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",109.139,
"BEL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",100.756,
"BEL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",321.276,
"BEL","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",369.37,
"BEL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2014",103162.077,
"BEL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2015",148903.647,
"BEL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2016",142889.217,
"BEL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2017",158937.395,
"BEL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2018",80783.146,
"BEL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2019",92393.844,
"BEL","FDISTOCK_IN_IND","MFG","MLN_USD","A","2020",97445.085,
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2011",,"C"
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2012",,"C"
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2013",314.85,
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2014",322.442,
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2015",307.081,
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2016",107.247,
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2017",144.582,
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2018",4162.19,
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2019",2576.188,
"CAN","FDISTOCK_IN_IND","AGRFORTFISH","MLN_USD","A","2020",2609.964,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2011",169450.539,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2012",187442.211,
"CAN","FDISTOCK_IN_IND","MFG","MLN_USD","A","2013",186860.902,
