,,"2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012",2013Q1,2013Q2,2013Q3,2013Q4,"2,013",2014Q1,2014Q2,2014Q3,2014Q4,"2,014",2015Q1,2015Q2,2015Q3,2015Q4,"2,015",2016Q1,2016Q2,2016Q3,2016Q4,"2,016",2017Q1,2017Q2,2017Q3,2017Q4,"2,017",2018Q1,2018Q2,2018Q3,2018Q4,"2,018",2019Q1,2019Q2,2019Q3,2019Q4,"2,019",2020Q1,2020Q2,2020Q3,2020Q4,"2,020",2021Q1,2021Q2,2021Q3,2021Q4,"2,021",2022Q1,2022Q2,,,,,,,,,,,,,,,,,,
,Table 2,FDI inward flows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2005,2006,2007,2008,2009,2010,2011,2012,2013,,,,,2014,,,,,2015,,,,,2016,,,,,2017,,,,,2018,,,,,2019,,,,,2020,,,,,2021,,,,,2022p,,,,,Half-year ,,,,Most recent quarters,,,,,,,,,,
,In USD millions ,Y,Y,Y,Y,Y,Y,Y,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,Q3,Q4,Y,Q1,Q2,,Growth rates 2021,,Q3-Q4 2021,Q1-Q2 2022,GR,,Q1 2022,Q2 2022,GR,,,,,,,,
OECD,OECD1,"616,750","946,626","1,289,578","883,228","668,362","733,228","885,701","823,798","191,233","191,940","195,196","193,546","771,917","158,420","176,131","167,893","252,211","754,658","422,696","197,281","321,720","372,899","1,314,590","415,437","218,846","337,983","381,455","1,353,722","267,494","322,429","247,906","132,357","970,190","124,724","64,159","148,073","397,956","734,912","172,416","175,466","246,804","380,446","975,130","138,387","137,456","22,208","150,171","448,223","239,913","206,088","193,539","188,956","828,496","300,991","187,482",,85%,,"382,496","488,474",28%,,"300,991","187,482",-38%,,,,,,,,
AUS,Australia ,"-28,223","26,331","41,475","46,687","31,668","36,442","58,907","59,540",,,,,"56,273",,,,,"58,505",,,,,"29,584",,,,,"48,397",,,,,"45,220",,,,,"68,462",,,,,"39,218",,,,,"20,140","2,773","1,281","5,936","17,526","27,516","42,559","3,376",,37%,,"23,462","45,934",96%,,"42,559","3,376",-92%,,,,,,,,
AUT,Austria*,"10,778","4,888","25,492","7,254","9,397","2,728","10,820","4,003","1,260","-1,262","4,637","1,179","5,813","2,033",341,"-1,014","3,439","4,800",612,"2,483","-1,024",-774,"1,295","2,974","1,486","-1,191","-11,674","-8,401","2,623",101,"2,455","9,744","14,926","4,781",229,"-3,392","3,894","5,512","2,697","2,240",-818,662,"4,783","-1,258","1,521","-5,192","-4,348","-9,275","4,480","2,375","1,398","5,277","13,526","3,059",-695,,-,,"6,675","2,364",-65%,,"3,059",-695,-,,,,,,,,
BEL,Belgium*,,,,,,,,"88,627","-6,348","-7,149","-17,321","25,066","-5,751","23,589","-7,097","6,395","9,193","32,082","2,348","-28,515","16,403","-14,246","-24,013","11,047","-11,002","13,613","54,523","68,178",299,"-17,981","5,946","8,679","-3,057",908,"-10,155","9,248","27,118","27,119","-7,523","-30,854","20,694","29,544","11,859","5,581","-23,250","12,073","12,389","6,790","2,117","-9,681","-2,688","21,835","11,585","-3,052","-4,823",,71%,,"19,147","-7,875",-,,"-3,052","-4,823",-,,,,,,,,
CAN,Canada,"25,693","60,298","116,809","61,520","22,733","28,399","39,667","43,118","20,485","21,775","12,207","14,904","69,371","13,914","12,102","14,280","18,712","59,008","5,576","18,222","15,428","4,627","43,853","6,260","11,174","7,784","10,843","36,062","5,484","3,729","7,544","6,007","22,764","11,560","6,298","9,387","10,408","37,654","9,317","16,311","12,867","11,646","50,142","8,595","7,855","7,527",-802,"23,174","21,607","9,601","16,363","12,672","60,243","15,773","17,235",,160%,,"29,036","33,007",14%,,"15,773","17,235",9%,,,,,,,,
CHL,Chile,"7,462","7,586","13,475","18,473","13,855","16,020","25,565","26,708","7,039","5,457","6,756","7,051","26,303","5,531","3,489","7,819","8,726","25,566","1,490","4,392","9,804","4,078","19,764","3,839","2,838","2,510","1,336","10,523","2,130","1,484","1,858","1,222","6,695","5,929","3,207","2,492","1,403","13,031","2,796","4,818","4,863","1,927","14,403","6,451","2,487",21,-98,"8,861","7,498","4,300","2,982",-591,"14,189","5,072","6,345",,60%,,"2,391","11,417",377%,,"5,072","6,345",25%,,,,,,,,
COL,Colombia2,"10,235","6,751","8,886","10,564","8,035","6,430","14,647","15,040","3,670","4,015","4,713","3,812","16,210","3,790","4,945","3,673","3,760","16,169","3,249","4,068","2,197","2,107","11,621","4,681","3,657","2,244","3,276","13,858","2,459","2,492","4,957","3,793","13,701","1,982","3,773","2,704","2,839","11,299","3,394","4,090","3,163","3,342","13,990","3,175","1,371",844,"2,069","7,459","2,333","2,023","2,788","2,584","9,727","5,072","4,773",,30%,,"5,372","9,846",83%,,"5,072","4,773",-6%,,,,,,,,
