,,"2,005","2,006","2,007","2,008","2,009","2,010","2,011","2,012","2,013","2,014","2,015","2,016","2,017","2,018","2,019","2,020","2,021",,
,Table 4,FDI inward positions ,,,,,,,,,,,,,,,,,,
,In USD millions ,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021p,,
OECD,OECD1,"8,869,549","10,825,249","13,136,158","10,622,649","12,353,599","13,266,296","13,539,468","14,825,904","16,488,334","17,017,118","17,700,323","18,803,059","22,220,103","21,991,996","25,136,325","30,362,354","32,719,116",,
AUS,Australia ,"247,739","301,969","391,968","307,841","439,446","527,096","554,931","615,116","568,855","582,540","566,437","611,119","700,423","701,483","732,885","794,944","770,603",,
AUT,Austria*,"83,771","113,348","164,586","150,658","174,486","166,478","158,863","171,697","186,591","182,785","165,845","156,671","198,302","191,850","199,945","212,840","219,452",,
BEL,Belgium*,,,,,,,,,"557,245","496,519","520,992","517,401","580,190","502,412","583,718","604,278","539,380",,
CAN,Canada,"638,650","706,841","1,032,966","620,191","867,470","983,889","862,698","953,503","982,529","994,712","806,298","903,454","940,279","922,029","1,156,062","1,235,585","1,549,314",,
CHL,Chile,,,,,,,,"179,320","190,785","205,015","207,888","222,752","245,716","241,029","245,468","246,998","236,981",,
COL,Colombia2,"36,987","45,406","56,463","67,266","75,986","82,991","97,379","112,949","128,213","141,810","149,073","164,428","179,334","188,833","204,916","212,299","219,843",,
CRI,Costa Rica,,,,,"12,386","14,066","16,225","18,811","21,789","24,381","30,647","33,869","36,743","39,393","43,564","46,617","49,941",,
CZE,Czech Republic,"60,662","79,838","112,396","113,173","125,829","128,505","120,569","136,494","134,085","121,512","116,628","121,855","155,994","164,225","171,334","195,240","200,587",,
DNK,Denmark*,"74,651","92,079","111,288","103,947","103,230","96,984","98,423","98,320","74,943","95,766","91,979","99,403","115,887","117,653","128,998","156,611","142,661",,
EST,Estonia*,"11,192","12,119","15,671","15,450","15,842","15,551","16,349",,"21,780",,"18,447","19,119","23,324","24,315","27,410","34,060","33,670",,
